folder,path,label
V2,C:\Users\munkh\OneDrive\Documents\Cheating detection project\archive\V2\V2\1.mp4,normal
V2,C:\Users\munkh\OneDrive\Documents\Cheating detection project\archive\V2\V2\2.mp4,copying
V2,C:\Users\munkh\OneDrive\Documents\Cheating detection project\archive\V2\V2\3.mp4,copying
V2,C:\Users\munkh\OneDrive\Documents\Cheating detection project\archive\V2\V2\4.mp4,gesture
V2,C:\Users\munkh\OneDrive\Documents\Cheating detection project\archive\V2\V2\5.mp4,normal
V2,C:\Users\munkh\OneDrive\Documents\Cheating detection project\archive\V2\V2\6.mp4,copying
V2,C:\Users\munkh\OneDrive\Documents\Cheating detection project\archive\V2\V2\7.mp4,copying
V2,C:\Users\munkh\OneDrive\Documents\Cheating detection project\archive\V2\V2\8.mp4,copying
V2,C:\Users\munkh\OneDrive\Documents\Cheating detection project\archive\V2\V2\all_DSC_0037.MOV,notes
V2,C:\Users\munkh\OneDrive\Documents\Cheating detection project\archive\V2\V2\copy.MOV,copying
V2,C:\Users\munkh\OneDrive\Documents\Cheating detection project\archive\V2\V2\crop40s.mp4,notes
V2,C:\Users\munkh\OneDrive\Documents\Cheating detection project\archive\V2\V2\d_1_0.mp4,copying
V2,C:\Users\munkh\OneDrive\Documents\Cheating detection project\archive\V2\V2\d_1_1.mp4,copying
V2,C:\Users\munkh\OneDrive\Documents\Cheating detection project\archive\V2\V2\DSC_0205.MOV,normal
V2,C:\Users\munkh\OneDrive\Documents\Cheating detection project\archive\V2\V2\DSC_0206.MOV,copying
V2,C:\Users\munkh\OneDrive\Documents\Cheating detection project\archive\V2\V2\DSC_0207.MOV,mobile
V2,C:\Users\munkh\OneDrive\Documents\Cheating detection project\archive\V2\V2\DSC_0208.MOV,mobile
V2,C:\Users\munkh\OneDrive\Documents\Cheating detection project\archive\V2\V2\gesture_DSC_0034.MOV,gesture
V2,C:\Users\munkh\OneDrive\Documents\Cheating detection project\archive\V2\V2\k1.mp4,mobile
V2,C:\Users\munkh\OneDrive\Documents\Cheating detection project\archive\V2\V2\k2.mp4,mobile
V2,C:\Users\munkh\OneDrive\Documents\Cheating detection project\archive\V2\V2\mobile-2_DSC_0036.MOV,mobile
V2,C:\Users\munkh\OneDrive\Documents\Cheating detection project\archive\V2\V2\mobile_DSC_0035.MOV,mobile
V2,C:\Users\munkh\OneDrive\Documents\Cheating detection project\archive\V2\V2\notes_DSC_0033.MOV,copying
V2,C:\Users\munkh\OneDrive\Documents\Cheating detection project\archive\V2\V2\s3.mp4,mobile
V2,C:\Users\munkh\OneDrive\Documents\Cheating detection project\archive\V2\V2\s4.mp4,normal
V2,C:\Users\munkh\OneDrive\Documents\Cheating detection project\archive\V2\V2\s5.mp4,notes
V2,C:\Users\munkh\OneDrive\Documents\Cheating detection project\archive\V2\V2\s6.mp4,notes
V2,C:\Users\munkh\OneDrive\Documents\Cheating detection project\archive\V2\V2\s7.mp4,copying
V2,C:\Users\munkh\OneDrive\Documents\Cheating detection project\archive\V2\V2\s8.mp4,mobile
V2,C:\Users\munkh\OneDrive\Documents\Cheating detection project\archive\V2\V2\WhatsApp Video 2026-02-25 at 3.00.16 AM.mp4,copying
