path,source,clip_id,label,cache
C:\Users\munkh\OneDrive\Documents\Cheating detection project\archive\V1\V1\c17.mp4,V1_raw,c17,copying,C:\Users\munkh\OneDrive\Documents\Cheating detection project\data_cache\V1_raw_c17.npy
C:\Users\munkh\OneDrive\Documents\Cheating detection project\archive\V1\V1\c18.mp4,V1_raw,c18,copying,C:\Users\munkh\OneDrive\Documents\Cheating detection project\data_cache\V1_raw_c18.npy
C:\Users\munkh\OneDrive\Documents\Cheating detection project\archive\V1\V1\c19.mp4,V1_raw,c19,copying,C:\Users\munkh\OneDrive\Documents\Cheating detection project\data_cache\V1_raw_c19.npy
C:\Users\munkh\OneDrive\Documents\Cheating detection project\archive\V1\V1\c20.mp4,V1_raw,c20,copying,C:\Users\munkh\OneDrive\Documents\Cheating detection project\data_cache\V1_raw_c20.npy
C:\Users\munkh\OneDrive\Documents\Cheating detection project\archive\V1\V1\c21.mp4,V1_raw,c21,copying,C:\Users\munkh\OneDrive\Documents\Cheating detection project\data_cache\V1_raw_c21.npy
C:\Users\munkh\OneDrive\Documents\Cheating detection project\archive\V1\V1\c22.mp4,V1_raw,c22,copying,C:\Users\munkh\OneDrive\Documents\Cheating detection project\data_cache\V1_raw_c22.npy
C:\Users\munkh\OneDrive\Documents\Cheating detection project\archive\V1\V1\c23.mp4,V1_raw,c23,copying,C:\Users\munkh\OneDrive\Documents\Cheating detection project\data_cache\V1_raw_c23.npy
C:\Users\munkh\OneDrive\Documents\Cheating detection project\archive\V1\V1\c24.mp4,V1_raw,c24,copying,C:\Users\munkh\OneDrive\Documents\Cheating detection project\data_cache\V1_raw_c24.npy
C:\Users\munkh\OneDrive\Documents\Cheating detection project\archive\V1\V1\c25.mp4,V1_raw,c25,copying,C:\Users\munkh\OneDrive\Documents\Cheating detection project\data_cache\V1_raw_c25.npy
C:\Users\munkh\OneDrive\Documents\Cheating detection project\archive\V1\V1\c26.mp4,V1_raw,c26,copying,C:\Users\munkh\OneDrive\Documents\Cheating detection project\data_cache\V1_raw_c26.npy
C:\Users\munkh\OneDrive\Documents\Cheating detection project\archive\V1\V1\c27.mp4,V1_raw,c27,copying,C:\Users\munkh\OneDrive\Documents\Cheating detection project\data_cache\V1_raw_c27.npy
C:\Users\munkh\OneDrive\Documents\Cheating detection project\archive\V1\V1\c28.mp4,V1_raw,c28,copying,C:\Users\munkh\OneDrive\Documents\Cheating detection project\data_cache\V1_raw_c28.npy
C:\Users\munkh\OneDrive\Documents\Cheating detection project\archive\V1\V1\c29.mp4,V1_raw,c29,copying,C:\Users\munkh\OneDrive\Documents\Cheating detection project\data_cache\V1_raw_c29.npy
C:\Users\munkh\OneDrive\Documents\Cheating detection project\archive\V1\V1\c30.mp4,V1_raw,c30,copying,C:\Users\munkh\OneDrive\Documents\Cheating detection project\data_cache\V1_raw_c30.npy
C:\Users\munkh\OneDrive\Documents\Cheating detection project\archive\V1\V1\c31.mp4,V1_raw,c31,copying,C:\Users\munkh\OneDrive\Documents\Cheating detection project\data_cache\V1_raw_c31.npy
C:\Users\munkh\OneDrive\Documents\Cheating detection project\archive\V1\V1\c32.mp4,V1_raw,c32,copying,C:\Users\munkh\OneDrive\Documents\Cheating detection project\data_cache\V1_raw_c32.npy
C:\Users\munkh\OneDrive\Documents\Cheating detection project\archive\V1\V1\c33.mp4,V1_raw,c33,copying,C:\Users\munkh\OneDrive\Documents\Cheating detection project\data_cache\V1_raw_c33.npy
C:\Users\munkh\OneDrive\Documents\Cheating detection project\archive\V1\V1\c34.mp4,V1_raw,c34,copying,C:\Users\munkh\OneDrive\Documents\Cheating detection project\data_cache\V1_raw_c34.npy
C:\Users\munkh\OneDrive\Documents\Cheating detection project\archive\V1\V1\c35.mp4,V1_raw,c35,copying,C:\Users\munkh\OneDrive\Documents\Cheating detection project\data_cache\V1_raw_c35.npy
C:\Users\munkh\OneDrive\Documents\Cheating detection project\archive\V1\V1\c36.mp4,V1_raw,c36,copying,C:\Users\munkh\OneDrive\Documents\Cheating detection project\data_cache\V1_raw_c36.npy
C:\Users\munkh\OneDrive\Documents\Cheating detection project\archive\V1\V1\c37.mp4,V1_raw,c37,copying,C:\Users\munkh\OneDrive\Documents\Cheating detection project\data_cache\V1_raw_c37.npy
